Region,Average Annual Precipitation (mm) Rescaled,Average Dry Days (<1 mm) Rescaled,Vulnerability Rescaled,Lack of Coping Capacity Rescaled
Dakar,10.0,10.0,10.0,10.0
Diourbel,32.87182012774919,73.08077046486527,28.529411764705884,28.620689655172406
Fatick,45.41453788439739,57.92105554853327,23.235294117647058,68.9655172413793
Kaffrine,40.868153248403374,63.49332503621884,23.235294117647058,53.44827586206896
Kaolack,45.88373840968416,54.583787081781665,17.941176470588232,37.93103448275861
Kédougou,87.54497241930426,26.24812099526481,68.23529411764707,100.0
Kolda,71.85056081546327,36.42563711143737,25.88235294117647,90.6896551724138
Louga,23.937547828865267,82.84551671067562,68.23529411764707,37.93103448275861
Matam,27.71653690009227,83.82828028875066,100.0,62.75862068965519
Saint-Louis,17.122809334804742,100.0,17.941176470588232,47.24137931034484
Sédhiou,77.41036780199644,28.958306999718026,17.941176470588232,81.37931034482759
Tambacounda,55.899698354058934,53.11997433080206,44.41176470588236,81.37931034482759
Thiès,22.425229010827792,41.14475871926259,20.58823529411765,28.620689655172406
Ziguinchor,100.0,19.37086157107158,10.0,65.86206896551724
